Timestamp,Ruta,ROI (%),Capital Final,Paso 1,Paso 2,Paso 3
2025-12-22 04:18:12,USDT->ONT->USDC->USDT,0.3188,20.063751,BUY ONT @ 0.0561,SELL ONT @ 0.0564,SELL USDC @ 1.0001
2025-12-22 04:28:09,USDT->CVX->USDC->USDT,0.3609,20.072188,BUY CVX @ 1.733,SELL CVX @ 1.743,SELL USDC @ 1.0001
2025-12-22 04:30:59,USDT->EUR->NEAR->USDT,0.0036,20.000716,BUY EUR @ 1.1727,BUY NEAR @ 1.3,SELL NEAR @ 1.528
2025-12-22 04:40:50,USDT->PHB->BTC->USDT,0.1232,20.024633,BUY PHB @ 0.249,SELL PHB @ 2.81e-06,SELL BTC @ 88921.16
2025-12-22 04:41:49,USDT->ARS->ETH->USDT,0.0224,20.004474,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.54
2025-12-22 04:41:51,USDT->ARS->ETH->USDT,0.0701,20.014020,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.99
2025-12-22 04:41:53,USDT->ARS->ETH->USDT,0.0118,20.002367,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.22
2025-12-22 04:41:55,USDT->ARS->ETH->USDT,0.0118,20.002367,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.22
2025-12-22 04:41:57,USDT->ARS->ETH->USDT,0.0118,20.002367,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.22
2025-12-22 04:41:59,USDT->ARS->ETH->USDT,0.0247,20.004935,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.61
2025-12-22 04:42:01,USDT->ARS->ETH->USDT,0.0138,20.002762,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.28
2025-12-22 04:42:03,USDT->ARS->ETH->USDT,0.0138,20.002762,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.28
2025-12-22 04:42:09,USDT->ARS->ETH->USDT,0.0592,20.011848,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.66
2025-12-22 04:42:11,USDT->ARS->ETH->USDT,0.0592,20.011848,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.66
2025-12-22 04:42:13,USDT->ARS->ETH->USDT,0.0744,20.014876,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.12
2025-12-22 04:42:15,USDT->ARS->ETH->USDT,0.0889,20.017773,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.56
2025-12-22 04:42:17,USDT->ARS->ETH->USDT,0.1010,20.020209,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.93
2025-12-22 04:42:19,USDT->ARS->ETH->USDT,0.1010,20.020209,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.93
2025-12-22 04:42:21,USDT->ARS->ETH->USDT,0.0931,20.018629,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.69
2025-12-22 04:42:23,USDT->ARS->ETH->USDT,0.0635,20.012704,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.79
2025-12-22 04:42:25,USDT->ARS->ETH->USDT,0.0767,20.015337,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.19
2025-12-22 04:42:27,USDT->ARS->ETH->USDT,0.0507,20.010136,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.4
2025-12-22 04:42:29,USDT->ARS->ETH->USDT,0.0322,20.006449,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3038.84
2025-12-22 04:42:31,USDT->ARS->ETH->USDT,0.0425,20.008490,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.15
2025-12-22 04:42:33,USDT->ARS->ETH->USDT,0.0579,20.011584,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.62
2025-12-22 04:42:35,USDT->ARS->ETH->USDT,0.0694,20.013889,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.97
2025-12-22 04:42:37,USDT->ARS->ETH->USDT,0.0895,20.017905,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.58
2025-12-22 04:42:39,USDT->ARS->ETH->USDT,0.0889,20.017773,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.56
2025-12-22 04:42:41,USDT->ARS->ETH->USDT,0.0889,20.017773,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.56
2025-12-22 04:42:43,USDT->ARS->ETH->USDT,0.0744,20.014876,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.12
2025-12-22 04:42:45,USDT->ARS->ETH->USDT,0.0744,20.014876,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.12
2025-12-22 04:42:47,USDT->ARS->ETH->USDT,0.0744,20.014876,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.12
2025-12-22 04:42:49,USDT->ARS->ETH->USDT,0.0615,20.012309,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.73
2025-12-22 04:42:51,USDT->ARS->ETH->USDT,0.0717,20.014349,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.04
2025-12-22 04:42:53,USDT->ARS->ETH->USDT,0.0717,20.014349,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.04
2025-12-22 04:42:55,USDT->ARS->ETH->USDT,0.0721,20.014415,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.05
2025-12-22 04:42:57,USDT->ARS->ETH->USDT,0.0721,20.014415,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3040.05
2025-12-22 04:42:59,USDT->ARS->ETH->USDT,0.0698,20.013954,SELL USDT @ 1548.0,BUY ETH @ 4692035.0,SELL ETH @ 3039.98
